,R,G,B,i,j,cluster
3283,122,122,122,32,83,0
3284,183,183,183,32,84,2
3285,118,118,118,32,85,0
3286,3,3,3,32,86,1
3287,0,0,0,32,87,1
3288,1,1,1,32,88,1
3289,0,0,0,32,89,1
3290,0,0,0,32,90,1
3291,0,0,0,32,91,1
3292,0,0,0,32,92,1
3293,0,0,0,32,93,1
3294,0,0,0,32,94,1
3295,0,0,0,32,95,1
3296,0,0,0,32,96,1
3297,0,0,0,32,97,1
3298,0,0,0,32,98,1
3299,0,0,0,32,99,1
3300,0,0,0,33,0,1
3301,0,0,0,33,1,1
3302,0,0,0,33,2,1
3303,0,0,0,33,3,1
3304,0,0,0,33,4,1
3305,0,0,0,33,5,1
3306,0,0,0,33,6,1
3307,0,0,0,33,7,1
3308,0,0,0,33,8,1
3309,0,0,0,33,9,1
3310,0,0,0,33,10,1
3311,2,2,2,33,11,1
3312,0,0,0,33,12,1
3313,126,126,126,33,13,0
3314,168,168,168,33,14,0
3315,31,31,31,33,15,1
3316,26,26,26,33,16,1
3317,24,24,24,33,17,1
3318,31,31,31,33,18,1
3319,6,6,6,33,19,1
3320,25,25,25,33,20,1
3321,66,66,66,33,21,3
3322,61,61,61,33,22,3
3323,173,173,173,33,23,2
3324,249,249,249,33,24,2
3325,242,242,242,33,25,2
3326,236,236,236,33,26,2
3327,233,233,233,33,27,2
3328,208,208,208,33,28,2
3329,219,219,219,33,29,2
3330,222,222,222,33,30,2
3331,215,215,215,33,31,2
3332,218,218,218,33,32,2
3333,213,213,213,33,33,2
3334,221,221,221,33,34,2
3335,188,188,188,33,35,2
3336,139,139,139,33,36,0
3337,120,120,120,33,37,0
3338,117,117,117,33,38,0
3339,113,113,113,33,39,0
3340,112,112,112,33,40,0
3341,114,114,114,33,41,0
3342,110,110,110,33,42,0
3343,110,110,110,33,43,0
3344,113,113,113,33,44,0
3345,107,107,107,33,45,0
3346,113,113,113,33,46,0
3347,137,137,137,33,47,0
