,R,G,B,i,j,cluster
0,43,43,43,0,0,3
1,14,14,14,0,1,1
2,17,17,17,0,2,1
3,17,17,17,0,3,1
4,17,17,17,0,4,1
5,17,17,17,0,5,1
6,17,17,17,0,6,1
7,17,17,17,0,7,1
8,17,17,17,0,8,1
9,17,17,17,0,9,1
10,16,16,16,0,10,1
11,14,14,14,0,11,1
12,14,14,14,0,12,1
13,14,14,14,0,13,1
14,16,16,16,0,14,1
15,17,17,17,0,15,1
16,17,17,17,0,16,1
17,17,17,17,0,17,1
18,17,17,17,0,18,1
19,17,17,17,0,19,1
20,17,17,17,0,20,1
21,17,17,17,0,21,1
22,16,16,16,0,22,1
23,16,16,16,0,23,1
24,16,16,16,0,24,1
25,18,18,18,0,25,1
26,18,18,18,0,26,1
27,18,18,18,0,27,1
28,18,18,18,0,28,1
29,18,18,18,0,29,1
30,18,18,18,0,30,1
31,18,18,18,0,31,1
32,18,18,18,0,32,1
33,18,18,18,0,33,1
34,18,18,18,0,34,1
35,18,18,18,0,35,1
36,18,18,18,0,36,1
37,18,18,18,0,37,1
38,18,18,18,0,38,1
39,18,18,18,0,39,1
40,18,18,18,0,40,1
41,18,18,18,0,41,1
42,18,18,18,0,42,1
43,18,18,18,0,43,1
44,17,17,17,0,44,1
45,18,18,18,0,45,1
46,17,17,17,0,46,1
47,18,18,18,0,47,1
48,18,18,18,0,48,1
49,13,13,13,0,49,1
50,20,20,20,0,50,1
51,17,17,17,0,51,1
52,17,17,17,0,52,1
53,15,15,15,0,53,1
54,15,15,15,0,54,1
55,17,17,17,0,55,1
56,16,16,16,0,56,1
57,16,16,16,0,57,1
58,17,17,17,0,58,1
59,17,17,17,0,59,1
60,20,20,20,0,60,1
61,18,18,18,0,61,1
62,18,18,18,0,62,1
63,18,18,18,0,63,1
64,18,18,18,0,64,1
65,18,18,18,0,65,1
66,18,18,18,0,66,1
67,17,17,17,0,67,1
68,14,14,14,0,68,1
69,14,14,14,0,69,1
70,14,14,14,0,70,1
71,16,16,16,0,71,1
72,17,17,17,0,72,1
73,17,17,17,0,73,1
74,17,17,17,0,74,1
75,17,17,17,0,75,1
76,17,17,17,0,76,1
77,17,17,17,0,77,1
78,17,17,17,0,78,1
79,17,17,17,0,79,1
80,17,17,17,0,80,1
81,17,17,17,0,81,1
82,17,17,17,0,82,1
83,17,17,17,0,83,1
84,17,17,17,0,84,1
85,17,17,17,0,85,1
86,17,17,17,0,86,1
87,17,17,17,0,87,1
88,17,17,17,0,88,1
89,17,17,17,0,89,1
90,17,17,17,0,90,1
91,17,17,17,0,91,1
92,17,17,17,0,92,1
93,17,17,17,0,93,1
94,17,17,17,0,94,1
95,17,17,17,0,95,1
96,16,16,16,0,96,1
97,18,18,18,0,97,1
98,18,18,18,0,98,1
99,14,14,14,0,99,1
100,32,32,32,1,0,1
101,4,4,4,1,1,1
102,7,7,7,1,2,1
103,5,5,5,1,3,1
104,4,4,4,1,4,1
105,4,4,4,1,5,1
106,4,4,4,1,6,1
107,4,4,4,1,7,1
108,4,4,4,1,8,1
109,4,4,4,1,9,1
110,4,4,4,1,10,1
111,6,6,6,1,11,1
112,6,6,6,1,12,1
113,6,6,6,1,13,1
114,4,4,4,1,14,1
115,4,4,4,1,15,1
116,4,4,4,1,16,1
117,4,4,4,1,17,1
118,4,4,4,1,18,1
119,4,4,4,1,19,1
120,4,4,4,1,20,1
121,4,4,4,1,21,1
122,4,4,4,1,22,1
123,4,4,4,1,23,1
124,4,4,4,1,24,1
125,5,5,5,1,25,1
126,5,5,5,1,26,1
127,5,5,5,1,27,1
128,5,5,5,1,28,1
129,5,5,5,1,29,1
130,5,5,5,1,30,1
131,5,5,5,1,31,1
132,5,5,5,1,32,1
133,5,5,5,1,33,1
134,5,5,5,1,34,1
135,5,5,5,1,35,1
136,5,5,5,1,36,1
137,5,5,5,1,37,1
138,5,5,5,1,38,1
139,6,6,6,1,39,1
140,6,6,6,1,40,1
141,6,6,6,1,41,1
142,6,6,6,1,42,1
143,9,9,9,1,43,1
144,8,8,8,1,44,1
145,4,4,4,1,45,1
146,13,13,13,1,46,1
147,8,8,8,1,47,1
148,12,12,12,1,48,1
149,17,17,17,1,49,1
150,15,15,15,1,50,1
151,6,6,6,1,51,1
152,14,14,14,1,52,1
153,9,9,9,1,53,1
154,8,8,8,1,54,1
155,19,19,19,1,55,1
156,10,10,10,1,56,1
157,12,12,12,1,57,1
158,7,7,7,1,58,1
159,7,7,7,1,59,1
160,5,5,5,1,60,1
161,5,5,5,1,61,1
162,5,5,5,1,62,1
163,5,5,5,1,63,1
164,5,5,5,1,64,1
165,5,5,5,1,65,1
166,5,5,5,1,66,1
167,6,6,6,1,67,1
168,7,7,7,1,68,1
169,7,7,7,1,69,1
170,7,7,7,1,70,1
171,5,5,5,1,71,1
172,4,4,4,1,72,1
173,4,4,4,1,73,1
174,4,4,4,1,74,1
175,4,4,4,1,75,1
176,4,4,4,1,76,1
177,4,4,4,1,77,1
178,4,4,4,1,78,1
179,4,4,4,1,79,1
180,4,4,4,1,80,1
181,4,4,4,1,81,1
182,4,4,4,1,82,1
183,4,4,4,1,83,1
184,4,4,4,1,84,1
185,4,4,4,1,85,1
186,4,4,4,1,86,1
187,4,4,4,1,87,1
188,4,4,4,1,88,1
189,4,4,4,1,89,1
190,4,4,4,1,90,1
191,4,4,4,1,91,1
192,4,4,4,1,92,1
193,4,4,4,1,93,1
194,4,4,4,1,94,1
195,4,4,4,1,95,1
196,4,4,4,1,96,1
197,7,7,7,1,97,1
198,7,7,7,1,98,1
199,2,2,2,1,99,1
200,34,34,34,2,0,1
201,5,5,5,2,1,1
202,8,8,8,2,2,1
203,8,8,8,2,3,1
204,8,8,8,2,4,1
205,8,8,8,2,5,1
206,8,8,8,2,6,1
207,9,9,9,2,7,1
208,9,9,9,2,8,1
209,9,9,9,2,9,1
210,9,9,9,2,10,1
211,10,10,10,2,11,1
212,10,10,10,2,12,1
213,10,10,10,2,13,1
214,10,10,10,2,14,1
215,10,10,10,2,15,1
216,10,10,10,2,16,1
217,10,10,10,2,17,1
218,10,10,10,2,18,1
219,10,10,10,2,19,1
220,10,10,10,2,20,1
221,11,11,11,2,21,1
222,11,11,11,2,22,1
223,11,11,11,2,23,1
224,11,11,11,2,24,1
225,11,11,11,2,25,1
226,11,11,11,2,26,1
227,11,11,11,2,27,1
228,11,11,11,2,28,1
229,11,11,11,2,29,1
230,11,11,11,2,30,1
231,11,11,11,2,31,1
232,11,11,11,2,32,1
233,11,11,11,2,33,1
234,11,11,11,2,34,1
235,11,11,11,2,35,1
236,11,11,11,2,36,1
237,11,11,11,2,37,1
238,11,11,11,2,38,1
239,13,13,13,2,39,1
240,13,13,13,2,40,1
241,13,13,13,2,41,1
242,12,12,12,2,42,1
243,12,12,12,2,43,1
244,13,13,13,2,44,1
245,30,30,30,2,45,1
246,63,63,63,2,46,3
247,51,51,51,2,47,3
248,32,32,32,2,48,1
249,102,102,102,2,49,0
250,60,60,60,2,50,3
251,22,22,22,2,51,1
252,68,68,68,2,52,3
