,R,G,B,i,j,cluster
0,89,89,89,0,0,3
1,52,52,52,0,1,2
2,53,53,53,0,2,2
3,53,53,53,0,3,2
4,52,52,52,0,4,2
5,52,52,52,0,5,2
6,52,52,52,0,6,2
7,52,52,52,0,7,2
8,52,52,52,0,8,2
9,52,52,52,0,9,2
10,52,52,52,0,10,2
11,52,52,52,0,11,2
12,52,52,52,0,12,2
13,52,52,52,0,13,2
14,52,52,52,0,14,2
15,52,52,52,0,15,2
16,52,52,52,0,16,2
17,52,52,52,0,17,2
18,52,52,52,0,18,2
19,52,52,52,0,19,2
20,52,52,52,0,20,2
21,52,52,52,0,21,2
22,52,52,52,0,22,2
23,52,52,52,0,23,2
24,52,52,52,0,24,2
25,52,52,52,0,25,2
26,52,52,52,0,26,2
27,52,52,52,0,27,2
28,52,52,52,0,28,2
29,52,52,52,0,29,2
30,52,52,52,0,30,2
31,52,52,52,0,31,2
32,51,51,51,0,32,2
33,51,51,51,0,33,2
34,51,51,51,0,34,2
35,51,51,51,0,35,2
36,51,51,51,0,36,2
37,51,51,51,0,37,2
38,51,51,51,0,38,2
39,51,51,51,0,39,2
40,51,51,51,0,40,2
41,51,51,51,0,41,2
42,52,52,52,0,42,2
43,52,52,52,0,43,2
44,53,53,53,0,44,2
45,53,53,53,0,45,2
46,52,52,52,0,46,2
47,53,53,53,0,47,2
48,54,54,54,0,48,2
49,55,55,55,0,49,2
50,53,53,53,0,50,2
51,52,52,52,0,51,2
52,53,53,53,0,52,2
53,53,53,53,0,53,2
54,53,53,53,0,54,2
55,53,53,53,0,55,2
56,52,52,52,0,56,2
57,50,50,50,0,57,2
58,51,51,51,0,58,2
59,54,54,54,0,59,2
60,54,54,54,0,60,2
61,53,53,53,0,61,2
62,53,53,53,0,62,2
63,53,53,53,0,63,2
64,52,52,52,0,64,2
65,52,52,52,0,65,2
66,52,52,52,0,66,2
67,52,52,52,0,67,2
68,52,52,52,0,68,2
69,52,52,52,0,69,2
70,52,52,52,0,70,2
71,52,52,52,0,71,2
72,52,52,52,0,72,2
73,52,52,52,0,73,2
74,52,52,52,0,74,2
75,52,52,52,0,75,2
76,52,52,52,0,76,2
77,52,52,52,0,77,2
78,52,52,52,0,78,2
79,52,52,52,0,79,2
80,52,52,52,0,80,2
81,52,52,52,0,81,2
82,52,52,52,0,82,2
83,52,52,52,0,83,2
84,52,52,52,0,84,2
85,52,52,52,0,85,2
86,52,52,52,0,86,2
87,52,52,52,0,87,2
88,52,52,52,0,88,2
89,52,52,52,0,89,2
90,52,52,52,0,90,2
91,52,52,52,0,91,2
92,52,52,52,0,92,2
93,52,52,52,0,93,2
94,52,52,52,0,94,2
95,52,52,52,0,95,2
96,52,52,52,0,96,2
97,52,52,52,0,97,2
98,51,51,51,0,98,2
99,90,90,90,0,99,3
100,53,53,53,1,0,2
101,0,0,0,1,1,0
102,0,0,0,1,2,0
103,0,0,0,1,3,0
104,0,0,0,1,4,0
105,0,0,0,1,5,0
106,0,0,0,1,6,0
107,0,0,0,1,7,0
108,0,0,0,1,8,0
109,0,0,0,1,9,0
110,0,0,0,1,10,0
111,0,0,0,1,11,0
112,0,0,0,1,12,0
113,0,0,0,1,13,0
114,0,0,0,1,14,0
115,0,0,0,1,15,0
116,0,0,0,1,16,0
117,0,0,0,1,17,0
118,0,0,0,1,18,0
119,0,0,0,1,19,0
120,0,0,0,1,20,0
121,0,0,0,1,21,0
122,0,0,0,1,22,0
123,0,0,0,1,23,0
124,0,0,0,1,24,0
125,0,0,0,1,25,0
126,0,0,0,1,26,0
127,0,0,0,1,27,0
128,0,0,0,1,28,0
129,0,0,0,1,29,0
130,0,0,0,1,30,0
131,0,0,0,1,31,0
132,0,0,0,1,32,0
133,0,0,0,1,33,0
134,0,0,0,1,34,0
135,0,0,0,1,35,0
136,0,0,0,1,36,0
137,0,0,0,1,37,0
138,0,0,0,1,38,0
139,0,0,0,1,39,0
140,0,0,0,1,40,0
141,0,0,0,1,41,0
142,0,0,0,1,42,0
143,0,0,0,1,43,0
144,0,0,0,1,44,0
145,0,0,0,1,45,0
146,0,0,0,1,46,0
147,0,0,0,1,47,0
148,0,0,0,1,48,0
149,0,0,0,1,49,0
150,1,1,1,1,50,0
151,0,0,0,1,51,0
152,0,0,0,1,52,0
153,0,0,0,1,53,0
154,0,0,0,1,54,0
155,0,0,0,1,55,0
156,0,0,0,1,56,0
157,0,0,0,1,57,0
158,0,0,0,1,58,0
159,0,0,0,1,59,0
160,0,0,0,1,60,0
161,0,0,0,1,61,0
162,0,0,0,1,62,0
163,0,0,0,1,63,0
164,0,0,0,1,64,0
165,0,0,0,1,65,0
166,0,0,0,1,66,0
167,0,0,0,1,67,0
168,0,0,0,1,68,0
169,0,0,0,1,69,0
170,0,0,0,1,70,0
171,0,0,0,1,71,0
172,0,0,0,1,72,0
173,0,0,0,1,73,0
174,0,0,0,1,74,0
175,0,0,0,1,75,0
176,0,0,0,1,76,0
177,0,0,0,1,77,0
178,0,0,0,1,78,0
179,0,0,0,1,79,0
180,0,0,0,1,80,0
181,0,0,0,1,81,0
182,0,0,0,1,82,0
183,0,0,0,1,83,0
184,0,0,0,1,84,0
185,0,0,0,1,85,0
186,0,0,0,1,86,0
187,0,0,0,1,87,0
188,0,0,0,1,88,0
189,0,0,0,1,89,0
190,0,0,0,1,90,0
191,0,0,0,1,91,0
192,0,0,0,1,92,0
193,0,0,0,1,93,0
194,0,0,0,1,94,0
195,0,0,0,1,95,0
196,0,0,0,1,96,0
197,0,0,0,1,97,0
198,0,0,0,1,98,0
199,50,50,50,1,99,2
200,51,51,51,2,0,2
201,0,0,0,2,1,0
202,2,2,2,2,2,0
203,2,2,2,2,3,0
204,1,1,1,2,4,0
205,1,1,1,2,5,0
206,1,1,1,2,6,0
207,1,1,1,2,7,0
208,1,1,1,2,8,0
209,1,1,1,2,9,0
210,1,1,1,2,10,0
211,1,1,1,2,11,0
212,1,1,1,2,12,0
213,1,1,1,2,13,0
214,1,1,1,2,14,0
215,1,1,1,2,15,0
216,1,1,1,2,16,0
217,1,1,1,2,17,0
218,1,1,1,2,18,0
219,1,1,1,2,19,0
220,1,1,1,2,20,0
221,1,1,1,2,21,0
222,1,1,1,2,22,0
223,1,1,1,2,23,0
224,1,1,1,2,24,0
225,1,1,1,2,25,0
226,1,1,1,2,26,0
227,1,1,1,2,27,0
228,1,1,1,2,28,0
229,1,1,1,2,29,0
230,1,1,1,2,30,0
231,1,1,1,2,31,0
232,2,2,2,2,32,0
233,2,2,2,2,33,0
234,2,2,2,2,34,0
235,2,2,2,2,35,0
236,2,2,2,2,36,0
237,2,2,2,2,37,0
238,2,2,2,2,38,0
239,2,2,2,2,39,0
240,2,2,2,2,40,0
241,2,2,2,2,41,0
242,1,1,1,2,42,0
243,2,2,2,2,43,0
244,2,2,2,2,44,0
245,2,2,2,2,45,0
246,0,0,0,2,46,0
247,1,1,1,2,47,0
248,1,1,1,2,48,0
249,2,2,2,2,49,0
250,2,2,2,2,50,0
251,1,1,1,2,51,0
252,2,2,2,2,52,0
253,3,3,3,2,53,0
254,4,4,4,2,54,0
255,4,4,4,2,55,0
256,4,4,4,2,56,0
257,3,3,3,2,57,0
258,1,1,1,2,58,0
259,0,0,0,2,59,0
260,0,0,0,2,60,0
261,1,1,1,2,61,0
262,1,1,1,2,62,0
263,2,2,2,2,63,0
264,1,1,1,2,64,0
265,1,1,1,2,65,0
266,1,1,1,2,66,0
267,1,1,1,2,67,0
268,1,1,1,2,68,0
269,1,1,1,2,69,0
270,1,1,1,2,70,0
271,1,1,1,2,71,0
272,1,1,1,2,72,0
273,1,1,1,2,73,0
274,1,1,1,2,74,0
275,1,1,1,2,75,0
276,1,1,1,2,76,0
277,1,1,1,2,77,0
278,1,1,1,2,78,0
279,1,1,1,2,79,0
280,1,1,1,2,80,0
281,1,1,1,2,81,0
282,1,1,1,2,82,0
283,1,1,1,2,83,0
284,1,1,1,2,84,0
285,1,1,1,2,85,0
286,1,1,1,2,86,0
287,1,1,1,2,87,0
288,1,1,1,2,88,0
289,1,1,1,2,89,0
290,1,1,1,2,90,0
291,1,1,1,2,91,0
292,1,1,1,2,92,0
293,1,1,1,2,93,0
294,1,1,1,2,94,0
