,R,G,B,i,j,cluster
2862,143,143,143,28,62,0
2863,151,151,151,28,63,0
2864,152,152,152,28,64,0
2865,147,147,147,28,65,0
2866,136,136,136,28,66,0
2867,139,139,139,28,67,0
2868,141,141,141,28,68,0
2869,143,143,143,28,69,0
2870,150,150,150,28,70,0
2871,152,152,152,28,71,0
2872,147,147,147,28,72,0
2873,147,147,147,28,73,0
2874,145,145,145,28,74,0
2875,145,145,145,28,75,0
2876,147,147,147,28,76,0
2877,140,140,140,28,77,0
2878,147,147,147,28,78,0
2879,143,143,143,28,79,0
2880,133,133,133,28,80,0
2881,82,82,82,28,81,3
2882,22,22,22,28,82,3
2883,42,42,42,28,83,3
2884,131,131,131,28,84,0
2885,162,162,162,28,85,0
2886,241,241,241,28,86,2
2887,206,206,206,28,87,4
2888,40,40,40,28,88,3
2889,0,0,0,28,89,1
2890,0,0,0,28,90,1
2891,0,0,0,28,91,1
2892,0,0,0,28,92,1
2893,0,0,0,28,93,1
2894,0,0,0,28,94,1
2895,0,0,0,28,95,1
2896,0,0,0,28,96,1
2897,0,0,0,28,97,1
2898,0,0,0,28,98,1
2899,0,0,0,28,99,1
2900,0,0,0,29,0,1
2901,0,0,0,29,1,1
2902,0,0,0,29,2,1
2903,0,0,0,29,3,1
2904,0,0,0,29,4,1
2905,0,0,0,29,5,1
2906,0,0,0,29,6,1
2907,0,0,0,29,7,1
2908,0,0,0,29,8,1
2909,0,0,0,29,9,1
2910,0,0,0,29,10,1
2911,0,0,0,29,11,1
2912,0,0,0,29,12,1
2913,0,0,0,29,13,1
2914,0,0,0,29,14,1
2915,64,64,64,29,15,3
2916,232,232,232,29,16,2
2917,210,210,210,29,17,4
2918,173,173,173,29,18,0
2919,101,101,101,29,19,3
2920,59,59,59,29,20,3
2921,58,58,58,29,21,3
2922,77,77,77,29,22,3
2923,106,106,106,29,23,3
2924,120,120,120,29,24,0
2925,107,107,107,29,25,3
2926,113,113,113,29,26,3
2927,121,121,121,29,27,0
2928,128,128,128,29,28,0
2929,135,135,135,29,29,0
2930,138,138,138,29,30,0
2931,149,149,149,29,31,0
2932,143,143,143,29,32,0
2933,145,145,145,29,33,0
2934,140,140,140,29,34,0
2935,140,140,140,29,35,0
2936,141,141,141,29,36,0
2937,139,139,139,29,37,0
2938,142,142,142,29,38,0
2939,139,139,139,29,39,0
2940,133,133,133,29,40,0
2941,114,114,114,29,41,0
2942,110,110,110,29,42,3
2943,119,119,119,29,43,0
2944,131,131,131,29,44,0
2945,142,142,142,29,45,0
2946,144,144,144,29,46,0
2947,136,136,136,29,47,0
2948,131,131,131,29,48,0
2949,128,128,128,29,49,0
2950,106,106,106,29,50,3
2951,82,82,82,29,51,3
2952,88,88,88,29,52,3
2953,123,123,123,29,53,0
2954,134,134,134,29,54,0
2955,144,144,144,29,55,0
2956,143,143,143,29,56,0
2957,149,149,149,29,57,0
2958,126,126,126,29,58,0
2959,100,100,100,29,59,3
2960,118,118,118,29,60,0
2961,138,138,138,29,61,0
2962,153,153,153,29,62,0
2963,157,157,157,29,63,0
2964,151,151,151,29,64,0
2965,144,144,144,29,65,0
2966,129,129,129,29,66,0
2967,106,106,106,29,67,3
2968,114,114,114,29,68,0
2969,138,138,138,29,69,0
2970,147,147,147,29,70,0
2971,145,145,145,29,71,0
2972,145,145,145,29,72,0
2973,135,135,135,29,73,0
2974,135,135,135,29,74,0
2975,139,139,139,29,75,0
2976,137,137,137,29,76,0
2977,127,127,127,29,77,0
2978,131,131,131,29,78,0
2979,132,132,132,29,79,0
2980,121,121,121,29,80,0
2981,68,68,68,29,81,3
2982,18,18,18,29,82,3
2983,51,51,51,29,83,3
2984,131,131,131,29,84,0
2985,154,154,154,29,85,0
2986,222,222,222,29,86,4
2987,228,228,228,29,87,2
2988,58,58,58,29,88,3
2989,0,0,0,29,89,1
2990,0,0,0,29,90,1
2991,0,0,0,29,91,1
2992,0,0,0,29,92,1
2993,0,0,0,29,93,1
2994,0,0,0,29,94,1
2995,0,0,0,29,95,1
2996,0,0,0,29,96,1
2997,0,0,0,29,97,1
2998,0,0,0,29,98,1
2999,0,0,0,29,99,1
3000,0,0,0,30,0,1
3001,0,0,0,30,1,1
3002,0,0,0,30,2,1
3003,0,0,0,30,3,1
3004,0,0,0,30,4,1
3005,0,0,0,30,5,1
3006,0,0,0,30,6,1
3007,0,0,0,30,7,1
3008,0,0,0,30,8,1
3009,0,0,0,30,9,1
3010,0,0,0,30,10,1
3011,0,0,0,30,11,1
3012,0,0,0,30,12,1
3013,0,0,0,30,13,1
3014,4,4,4,30,14,3
3015,136,136,136,30,15,0
3016,244,244,244,30,16,2
3017,183,183,183,30,17,4
3018,146,146,146,30,18,0
3019,83,83,83,30,19,3
3020,41,41,41,30,20,3
3021,42,42,42,30,21,3
3022,88,88,88,30,22,3
3023,81,81,81,30,23,3
3024,77,77,77,30,24,3
3025,110,110,110,30,25,3
3026,121,121,121,30,26,0
3027,126,126,126,30,27,0
3028,125,125,125,30,28,0
3029,128,128,128,30,29,0
3030,134,134,134,30,30,0
3031,138,138,138,30,31,0
3032,132,132,132,30,32,0
3033,131,131,131,30,33,0
3034,131,131,131,30,34,0
3035,123,123,123,30,35,0
3036,129,129,129,30,36,0
3037,135,135,135,30,37,0
3038,139,139,139,30,38,0
3039,138,138,138,30,39,0
3040,138,138,138,30,40,0
3041,116,116,116,30,41,0
3042,96,96,96,30,42,3
3043,96,96,96,30,43,3
3044,114,114,114,30,44,0
3045,137,137,137,30,45,0
3046,147,147,147,30,46,0
3047,136,136,136,30,47,0
3048,130,130,130,30,48,0
3049,124,124,124,30,49,0
3050,107,107,107,30,50,3
3051,81,81,81,30,51,3
3052,83,83,83,30,52,3
3053,121,121,121,30,53,0
3054,137,137,137,30,54,0
3055,142,142,142,30,55,0
3056,146,146,146,30,56,0
3057,137,137,137,30,57,0
3058,108,108,108,30,58,3
3059,110,110,110,30,59,3
3060,136,136,136,30,60,0
3061,151,151,151,30,61,0
3062,157,157,157,30,62,0
3063,153,153,153,30,63,0
3064,143,143,143,30,64,0
3065,132,132,132,30,65,0
3066,127,127,127,30,66,0
3067,115,115,115,30,67,0
3068,103,103,103,30,68,3
3069,108,108,108,30,69,3
3070,137,137,137,30,70,0
3071,142,142,142,30,71,0
3072,135,135,135,30,72,0
3073,122,122,122,30,73,0
3074,112,112,112,30,74,3
3075,103,103,103,30,75,3
3076,92,92,92,30,76,3
3077,88,88,88,30,77,3
3078,91,91,91,30,78,3
3079,95,95,95,30,79,3
3080,83,83,83,30,80,3
3081,63,63,63,30,81,3
3082,48,48,48,30,82,3
3083,65,65,65,30,83,3
3084,132,132,132,30,84,0
3085,158,158,158,30,85,0
3086,202,202,202,30,86,4
3087,237,237,237,30,87,2
3088,67,67,67,30,88,3
3089,0,0,0,30,89,1
3090,0,0,0,30,90,1
3091,0,0,0,30,91,1
3092,0,0,0,30,92,1
3093,0,0,0,30,93,1
3094,0,0,0,30,94,1
3095,0,0,0,30,95,1
3096,0,0,0,30,96,1
3097,0,0,0,30,97,1
3098,0,0,0,30,98,1
3099,0,0,0,30,99,1
3100,0,0,0,31,0,1
3101,0,0,0,31,1,1
3102,0,0,0,31,2,1
3103,0,0,0,31,3,1
3104,0,0,0,31,4,1
3105,0,0,0,31,5,1
3106,0,0,0,31,6,1
3107,0,0,0,31,7,1
3108,0,0,0,31,8,1
3109,0,0,0,31,9,1
3110,0,0,0,31,10,1
3111,0,0,0,31,11,1
3112,0,0,0,31,12,1
3113,0,0,0,31,13,1
3114,42,42,42,31,14,3
3115,215,215,215,31,15,4
3116,218,218,218,31,16,4
3117,165,165,165,31,17,0
3118,138,138,138,31,18,0
3119,76,76,76,31,19,3
3120,34,34,34,31,20,3
3121,40,40,40,31,21,3
3122,81,81,81,31,22,3
3123,94,94,94,31,23,3
3124,77,77,77,31,24,3
3125,114,114,114,31,25,0
3126,130,130,130,31,26,0
3127,123,123,123,31,27,0
3128,125,125,125,31,28,0
3129,133,133,133,31,29,0
3130,131,131,131,31,30,0
3131,127,127,127,31,31,0
3132,104,104,104,31,32,3
3133,76,76,76,31,33,3
3134,63,63,63,31,34,3
3135,79,79,79,31,35,3
3136,113,113,113,31,36,3
3137,134,134,134,31,37,0
3138,139,139,139,31,38,0
3139,135,135,135,31,39,0
3140,136,136,136,31,40,0
3141,125,125,125,31,41,0
3142,110,110,110,31,42,3
3143,100,100,100,31,43,3
3144,95,95,95,31,44,3
3145,114,114,114,31,45,0
3146,138,138,138,31,46,0
3147,140,140,140,31,47,0
3148,130,130,130,31,48,0
3149,127,127,127,31,49,0
3150,100,100,100,31,50,3
3151,76,76,76,31,51,3
3152,78,78,78,31,52,3
3153,122,122,122,31,53,0
3154,136,136,136,31,54,0
3155,140,140,140,31,55,0
3156,143,143,143,31,56,0
3157,132,132,132,31,57,0
3158,138,138,138,31,58,0
3159,155,155,155,31,59,0
3160,157,157,157,31,60,0
3161,146,146,146,31,61,0
3162,151,151,151,31,62,0
3163,148,148,148,31,63,0
3164,146,146,146,31,64,0
3165,141,141,141,31,65,0
3166,130,130,130,31,66,0
3167,118,118,118,31,67,0
3168,106,106,106,31,68,3
3169,96,96,96,31,69,3
3170,90,90,90,31,70,3
3171,114,114,114,31,71,0
3172,125,125,125,31,72,0
3173,133,133,133,31,73,0
3174,135,135,135,31,74,0
3175,131,131,131,31,75,0
3176,127,127,127,31,76,0
3177,120,120,120,31,77,0
3178,98,98,98,31,78,3
3179,87,87,87,31,79,3
3180,82,82,82,31,80,3
3181,80,80,80,31,81,3
3182,80,80,80,31,82,3
3183,77,77,77,31,83,3
3184,132,132,132,31,84,0
3185,166,166,166,31,85,0
3186,184,184,184,31,86,4
3187,243,243,243,31,87,2
3188,81,81,81,31,88,3
3189,0,0,0,31,89,1
3190,0,0,0,31,90,1
3191,0,0,0,31,91,1
3192,0,0,0,31,92,1
3193,0,0,0,31,93,1
3194,0,0,0,31,94,1
3195,0,0,0,31,95,1
3196,0,0,0,31,96,1
3197,0,0,0,31,97,1
3198,0,0,0,31,98,1
3199,0,0,0,31,99,1
3200,0,0,0,32,0,1
3201,0,0,0,32,1,1
3202,0,0,0,32,2,1
3203,0,0,0,32,3,1
3204,0,0,0,32,4,1
3205,0,0,0,32,5,1
3206,0,0,0,32,6,1
3207,0,0,0,32,7,1
3208,0,0,0,32,8,1
3209,0,0,0,32,9,1
3210,0,0,0,32,10,1
3211,0,0,0,32,11,1
3212,0,0,0,32,12,1
3213,1,1,1,32,13,3
3214,115,115,115,32,14,0
3215,249,249,249,32,15,2
3216,187,187,187,32,16,4
3217,155,155,155,32,17,0
3218,143,143,143,32,18,0
3219,97,97,97,32,19,3
3220,68,68,68,32,20,3
3221,82,82,82,32,21,3
3222,105,105,105,32,22,3
3223,115,115,115,32,23,0
3224,94,94,94,32,24,3
