,i,j,clusters
0,0,0,2
1,0,1,2
2,0,2,3
3,0,3,4
4,0,4,4
5,0,5,5
6,0,6,4
7,0,7,5
8,0,8,6
9,0,9,4
10,0,10,4
11,0,11,5
12,0,12,4
13,0,13,4
14,0,14,4
15,0,15,3
16,0,16,2
17,0,17,5
18,0,18,5
19,0,19,3
20,0,20,3
21,0,21,5
22,0,22,5
23,0,23,3
24,0,24,5
25,0,25,6
26,0,26,6
27,0,27,3
28,0,28,6
29,0,29,3
30,0,30,3
31,0,31,6
32,0,32,6
33,0,33,3
34,0,34,5
35,0,35,6
36,0,36,3
37,0,37,6
38,0,38,6
39,0,39,3
40,0,40,3
41,0,41,3
42,0,42,3
43,0,43,3
44,0,44,6
45,0,45,2
46,0,46,7
47,0,47,3
48,0,48,3
49,0,49,6
50,0,50,6
51,0,51,3
52,0,52,6
53,0,53,5
54,0,54,6
55,0,55,3
56,0,56,5
57,0,57,5
58,0,58,6
59,0,59,5
60,0,60,5
61,0,61,5
62,0,62,5
63,0,63,4
64,0,64,6
65,0,65,5
66,0,66,4
67,0,67,2
68,0,68,6
69,0,69,2
70,0,70,5
71,0,71,1
72,0,72,5
73,0,73,3
74,0,74,4
75,0,75,1
76,0,76,5
77,0,77,3
78,0,78,6
79,0,79,2
80,0,80,6
81,0,81,2
82,0,82,3
83,0,83,4
84,0,84,6
85,0,85,3
86,0,86,3
87,0,87,3
88,0,88,3
89,0,89,6
90,0,90,6
91,0,91,6
92,1,0,2
93,1,1,2
94,1,2,3
95,1,3,6
96,1,4,6
97,1,5,4
98,1,6,1
99,1,7,4
100,1,8,6
101,1,9,6
102,1,10,6
103,1,11,3
104,1,12,6
105,1,13,6
106,1,14,6
107,1,15,3
108,1,16,2
109,1,17,6
110,1,18,5
111,1,19,5
112,1,20,5
113,1,21,5
114,1,22,5
115,1,23,3
116,1,24,5
117,1,25,5
118,1,26,5
119,1,27,6
120,1,28,5
121,1,29,6
122,1,30,6
123,1,31,6
124,1,32,6
125,1,33,5
126,1,34,4
127,1,35,6
128,1,36,3
129,1,37,3
130,1,38,3
131,1,39,2
132,1,40,2
133,1,41,2
134,1,42,3
135,1,43,3
136,1,44,8
137,1,45,9
138,1,46,10
139,1,47,11
140,1,48,11
141,1,49,10
142,1,50,11
143,1,51,12
144,1,52,1
145,1,53,13
146,1,54,7
147,1,55,5
148,1,56,1
149,1,57,1
150,1,58,5
151,1,59,6
152,1,60,6
153,1,61,5
154,1,62,5
155,1,63,2
156,1,64,7
157,1,65,3
158,1,66,5
159,1,67,6
160,1,68,5
161,1,69,6
162,1,70,1
163,1,71,4
164,1,72,5
165,1,73,5
166,1,74,4
167,1,75,4
168,1,76,5
169,1,77,4
170,1,78,4
171,1,79,6
172,1,80,4
173,1,81,4
174,1,82,5
175,1,83,5
176,1,84,5
177,1,85,5
178,1,86,6
179,1,87,6
180,1,88,6
181,1,89,5
182,1,90,5
183,1,91,2
184,2,0,6
185,2,1,6
186,2,2,7
187,2,3,6
188,2,4,3
189,2,5,6
190,2,6,1
191,2,7,4
192,2,8,4
193,2,9,6
194,2,10,3
195,2,11,3
196,2,12,3
197,2,13,7
198,2,14,2
199,2,15,5
200,2,16,5
201,2,17,5
202,2,18,6
203,2,19,3
204,2,20,5
205,2,21,6
206,2,22,6
207,2,23,6
208,2,24,3
209,2,25,3
210,2,26,6
211,2,27,6
212,2,28,4
213,2,29,5
214,2,30,5
215,2,31,3
216,2,32,5
217,2,33,1
218,2,34,6
219,2,35,5
220,2,36,6
221,2,37,7
222,2,38,13
223,2,39,1
224,2,40,11
225,2,41,14
226,2,42,15
227,2,43,16
228,2,44,1
229,2,45,17
230,2,46,1
231,2,47,1
232,2,48,1
233,2,49,1
234,2,50,1
235,2,51,1
236,2,52,1
237,2,53,18
238,2,54,19
239,2,55,1
240,2,56,13
241,2,57,3
242,2,58,1
243,2,59,5
244,2,60,5
245,2,61,5
246,2,62,6
247,2,63,7
248,2,64,7
249,2,65,6
250,2,66,6
251,2,67,5
252,2,68,5
253,2,69,5
254,2,70,5
255,2,71,4
256,2,72,4
257,2,73,5
258,2,74,5
259,2,75,1
260,2,76,4
261,2,77,5
262,2,78,5
263,2,79,6
264,2,80,6
265,2,81,6
266,2,82,5
267,2,83,5
268,2,84,4
269,2,85,4
270,2,86,6
271,2,87,5
272,2,88,6
273,2,89,3
274,2,90,5
275,2,91,5
276,3,0,6
277,3,1,7
278,3,2,6
279,3,3,4
280,3,4,5
281,3,5,5
282,3,6,1
283,3,7,4
284,3,8,4
285,3,9,6
286,3,10,6
287,3,11,5
288,3,12,6
289,3,13,3
290,3,14,6
291,3,15,1
292,3,16,1
293,3,17,5
294,3,18,6
295,3,19,3
296,3,20,5
297,3,21,4
298,3,22,4
299,3,23,1
300,3,24,5
301,3,25,3
302,3,26,6
303,3,27,6
304,3,28,4
305,3,29,1
306,3,30,1
307,3,31,5
308,3,32,1
309,3,33,1
310,3,34,6
311,3,35,13
312,3,36,11
313,3,37,20
314,3,38,21
315,3,39,1
316,3,40,1
317,3,41,22
318,3,42,1
319,3,43,1
320,3,44,1
321,3,45,1
322,3,46,1
323,3,47,1
324,3,48,1
325,3,49,1
326,3,50,1
327,3,51,1
328,3,52,1
329,3,53,1
330,3,54,23
331,3,55,24
332,3,56,15
333,3,57,9
334,3,58,13
335,3,59,3
336,3,60,3
337,3,61,4
338,3,62,5
339,3,63,6
340,3,64,6
341,3,65,4
342,3,66,5
343,3,67,6
344,3,68,6
345,3,69,6
346,3,70,6
347,3,71,6
348,3,72,6
349,3,73,3
350,3,74,2
351,3,75,5
352,3,76,5
353,3,77,5
354,3,78,5
355,3,79,4
356,3,80,5
357,3,81,6
358,3,82,5
359,3,83,5
360,3,84,4
361,3,85,4
362,3,86,6
363,3,87,5
