,R,G,B,i,j,cluster
0,9,9,9,0,0,2
1,9,9,9,0,1,2
2,9,9,9,0,2,2
3,9,9,9,0,3,2
4,8,8,8,0,4,2
5,8,8,8,0,5,2
6,8,8,8,0,6,2
7,8,8,8,0,7,2
8,8,8,8,0,8,2
9,8,8,8,0,9,2
10,8,8,8,0,10,2
11,8,8,8,0,11,2
12,8,8,8,0,12,2
13,8,8,8,0,13,2
14,8,8,8,0,14,2
15,8,8,8,0,15,2
16,8,8,8,0,16,2
17,8,8,8,0,17,2
18,8,8,8,0,18,2
19,8,8,8,0,19,2
20,8,8,8,0,20,2
21,8,8,8,0,21,2
22,8,8,8,0,22,2
23,8,8,8,0,23,2
24,8,8,8,0,24,2
25,8,8,8,0,25,2
26,8,8,8,0,26,2
27,8,8,8,0,27,2
28,8,8,8,0,28,2
29,8,8,8,0,29,2
30,9,9,9,0,30,2
31,9,9,9,0,31,2
32,9,9,9,0,32,2
33,9,9,9,0,33,2
34,9,9,9,0,34,2
35,9,9,9,0,35,2
36,9,9,9,0,36,2
37,9,9,9,0,37,2
38,9,9,9,0,38,2
39,9,9,9,0,39,2
40,9,9,9,0,40,2
41,9,9,9,0,41,2
42,9,9,9,0,42,2
43,8,8,8,0,43,2
44,7,7,7,0,44,2
45,9,9,9,0,45,2
46,9,9,9,0,46,2
47,9,9,9,0,47,2
48,6,6,6,0,48,2
49,6,6,6,0,49,2
50,8,8,8,0,50,2
51,9,9,9,0,51,2
52,9,9,9,0,52,2
53,9,9,9,0,53,2
54,9,9,9,0,54,2
55,8,8,8,0,55,2
56,7,7,7,0,56,2
57,8,8,8,0,57,2
58,8,8,8,0,58,2
59,8,8,8,0,59,2
60,8,8,8,0,60,2
61,9,9,9,0,61,2
62,9,9,9,0,62,2
63,9,9,9,0,63,2
64,9,9,9,0,64,2
65,9,9,9,0,65,2
66,9,9,9,0,66,2
67,9,9,9,0,67,2
68,9,9,9,0,68,2
69,9,9,9,0,69,2
70,9,9,9,0,70,2
71,9,9,9,0,71,2
72,9,9,9,0,72,2
73,9,9,9,0,73,2
74,9,9,9,0,74,2
75,9,9,9,0,75,2
76,9,9,9,0,76,2
77,9,9,9,0,77,2
78,9,9,9,0,78,2
79,9,9,9,0,79,2
80,9,9,9,0,80,2
81,9,9,9,0,81,2
82,9,9,9,0,82,2
83,9,9,9,0,83,2
84,9,9,9,0,84,2
85,9,9,9,0,85,2
86,9,9,9,0,86,2
87,9,9,9,0,87,2
88,9,9,9,0,88,2
89,9,9,9,0,89,2
90,9,9,9,0,90,2
91,9,9,9,0,91,2
92,9,9,9,0,92,2
93,9,9,9,0,93,2
94,9,9,9,0,94,2
95,9,9,9,0,95,2
96,9,9,9,0,96,2
97,9,9,9,0,97,2
98,9,9,9,0,98,2
99,8,8,8,0,99,2
100,9,9,9,1,0,2
101,9,9,9,1,1,2
102,9,9,9,1,2,2
103,9,9,9,1,3,2
104,8,8,8,1,4,2
105,8,8,8,1,5,2
106,8,8,8,1,6,2
107,8,8,8,1,7,2
108,8,8,8,1,8,2
109,8,8,8,1,9,2
110,8,8,8,1,10,2
111,8,8,8,1,11,2
112,8,8,8,1,12,2
113,8,8,8,1,13,2
114,8,8,8,1,14,2
115,8,8,8,1,15,2
116,8,8,8,1,16,2
117,8,8,8,1,17,2
118,8,8,8,1,18,2
119,8,8,8,1,19,2
120,8,8,8,1,20,2
121,8,8,8,1,21,2
122,8,8,8,1,22,2
123,8,8,8,1,23,2
124,8,8,8,1,24,2
125,8,8,8,1,25,2
126,8,8,8,1,26,2
127,8,8,8,1,27,2
128,8,8,8,1,28,2
129,8,8,8,1,29,2
130,9,9,9,1,30,2
131,9,9,9,1,31,2
132,9,9,9,1,32,2
133,9,9,9,1,33,2
134,9,9,9,1,34,2
135,9,9,9,1,35,2
136,9,9,9,1,36,2
137,9,9,9,1,37,2
138,9,9,9,1,38,2
139,9,9,9,1,39,2
140,9,9,9,1,40,2
141,9,9,9,1,41,2
142,9,9,9,1,42,2
143,8,8,8,1,43,2
144,7,7,7,1,44,2
145,8,8,8,1,45,2
146,9,9,9,1,46,2
147,7,7,7,1,47,2
148,9,9,9,1,48,2
149,11,11,11,1,49,2
150,10,10,10,1,50,2
151,8,8,8,1,51,2
152,7,7,7,1,52,2
153,11,11,11,1,53,2
154,12,12,12,1,54,2
155,10,10,10,1,55,2
156,10,10,10,1,56,2
157,11,11,11,1,57,2
158,11,11,11,1,58,2
159,11,11,11,1,59,2
160,10,10,10,1,60,2
161,9,9,9,1,61,2
162,9,9,9,1,62,2
163,9,9,9,1,63,2
164,9,9,9,1,64,2
165,9,9,9,1,65,2
166,9,9,9,1,66,2
167,9,9,9,1,67,2
168,9,9,9,1,68,2
169,9,9,9,1,69,2
170,9,9,9,1,70,2
171,9,9,9,1,71,2
172,9,9,9,1,72,2
173,9,9,9,1,73,2
174,9,9,9,1,74,2
175,9,9,9,1,75,2
176,9,9,9,1,76,2
177,9,9,9,1,77,2
178,9,9,9,1,78,2
179,9,9,9,1,79,2
180,9,9,9,1,80,2
181,9,9,9,1,81,2
182,9,9,9,1,82,2
183,9,9,9,1,83,2
184,9,9,9,1,84,2
185,9,9,9,1,85,2
186,9,9,9,1,86,2
187,9,9,9,1,87,2
188,9,9,9,1,88,2
189,9,9,9,1,89,2
190,9,9,9,1,90,2
191,9,9,9,1,91,2
192,9,9,9,1,92,2
193,9,9,9,1,93,2
194,9,9,9,1,94,2
195,9,9,9,1,95,2
196,9,9,9,1,96,2
197,9,9,9,1,97,2
198,9,9,9,1,98,2
199,8,8,8,1,99,2
200,9,9,9,2,0,2
201,9,9,9,2,1,2
202,9,9,9,2,2,2
203,9,9,9,2,3,2
204,8,8,8,2,4,2
205,8,8,8,2,5,2
206,8,8,8,2,6,2
207,8,8,8,2,7,2
208,8,8,8,2,8,2
209,8,8,8,2,9,2
210,8,8,8,2,10,2
211,8,8,8,2,11,2
212,8,8,8,2,12,2
213,8,8,8,2,13,2
214,8,8,8,2,14,2
215,8,8,8,2,15,2
216,8,8,8,2,16,2
217,8,8,8,2,17,2
218,8,8,8,2,18,2
219,8,8,8,2,19,2
220,8,8,8,2,20,2
221,8,8,8,2,21,2
222,8,8,8,2,22,2
223,8,8,8,2,23,2
224,8,8,8,2,24,2
225,8,8,8,2,25,2
226,8,8,8,2,26,2
227,8,8,8,2,27,2
228,8,8,8,2,28,2
229,8,8,8,2,29,2
230,9,9,9,2,30,2
231,9,9,9,2,31,2
232,9,9,9,2,32,2
233,9,9,9,2,33,2
234,9,9,9,2,34,2
235,9,9,9,2,35,2
236,9,9,9,2,36,2
237,9,9,9,2,37,2
238,9,9,9,2,38,2
239,9,9,9,2,39,2
240,9,9,9,2,40,2
241,9,9,9,2,41,2
242,7,7,7,2,42,2
243,3,3,3,2,43,1
244,0,0,0,2,44,1
245,0,0,0,2,45,1
246,0,0,0,2,46,1
247,8,8,8,2,47,2
248,6,6,6,2,48,2
249,0,0,0,2,49,1
250,0,0,0,2,50,1
251,1,1,1,2,51,1
252,4,4,4,2,52,1
253,0,0,0,2,53,1
254,0,0,0,2,54,1
255,0,0,0,2,55,1
256,0,0,0,2,56,1
257,0,0,0,2,57,1
258,0,0,0,2,58,1
259,1,1,1,2,59,1
260,3,3,3,2,60,1
261,7,7,7,2,61,2
262,9,9,9,2,62,2
263,9,9,9,2,63,2
264,9,9,9,2,64,2
265,9,9,9,2,65,2
266,9,9,9,2,66,2
267,9,9,9,2,67,2
268,9,9,9,2,68,2
269,9,9,9,2,69,2
270,9,9,9,2,70,2
271,9,9,9,2,71,2
272,9,9,9,2,72,2
273,9,9,9,2,73,2
274,9,9,9,2,74,2
275,9,9,9,2,75,2
276,9,9,9,2,76,2
277,9,9,9,2,77,2
278,9,9,9,2,78,2
279,9,9,9,2,79,2
280,9,9,9,2,80,2
281,9,9,9,2,81,2
282,9,9,9,2,82,2
283,9,9,9,2,83,2
284,9,9,9,2,84,2
285,9,9,9,2,85,2
286,9,9,9,2,86,2
287,9,9,9,2,87,2
288,9,9,9,2,88,2
289,9,9,9,2,89,2
290,9,9,9,2,90,2
291,9,9,9,2,91,2
292,9,9,9,2,92,2
293,9,9,9,2,93,2
294,9,9,9,2,94,2
295,9,9,9,2,95,2
296,9,9,9,2,96,2
297,9,9,9,2,97,2
298,9,9,9,2,98,2
299,8,8,8,2,99,2
300,9,9,9,3,0,2
301,9,9,9,3,1,2
302,9,9,9,3,2,2
303,9,9,9,3,3,2
304,9,9,9,3,4,2
305,9,9,9,3,5,2
306,9,9,9,3,6,2
307,9,9,9,3,7,2
308,9,9,9,3,8,2
309,9,9,9,3,9,2
310,9,9,9,3,10,2
311,9,9,9,3,11,2
312,9,9,9,3,12,2
313,9,9,9,3,13,2
314,9,9,9,3,14,2
315,8,8,8,3,15,2
316,8,8,8,3,16,2
317,8,8,8,3,17,2
318,8,8,8,3,18,2
319,8,8,8,3,19,2
320,8,8,8,3,20,2
321,8,8,8,3,21,2
322,8,8,8,3,22,2
323,9,9,9,3,23,2
324,9,9,9,3,24,2
325,9,9,9,3,25,2
326,9,9,9,3,26,2
327,9,9,9,3,27,2
328,9,9,9,3,28,2
329,9,9,9,3,29,2
330,8,8,8,3,30,2
331,8,8,8,3,31,2
332,9,9,9,3,32,2
333,9,9,9,3,33,2
334,9,9,9,3,34,2
335,7,7,7,3,35,2
336,9,9,9,3,36,2
337,11,11,11,3,37,2
338,12,12,12,3,38,2
339,5,5,5,3,39,1
340,1,1,1,3,40,1
341,1,1,1,3,41,1
342,21,21,21,3,42,1
343,46,46,46,3,43,3
344,103,103,103,3,44,4
345,143,143,143,3,45,1
346,147,147,147,3,46,1
347,156,156,156,3,47,1
348,154,154,154,3,48,1
349,148,148,148,3,49,1
350,149,149,149,3,50,1
351,151,151,151,3,51,1
352,151,151,151,3,52,1
353,147,147,147,3,53,1
354,142,142,142,3,54,1
355,129,129,129,3,55,4
356,117,117,117,3,56,4
357,112,112,112,3,57,4
358,84,84,84,3,58,4
359,47,47,47,3,59,3
360,38,38,38,3,60,1
361,20,20,20,3,61,1
362,2,2,2,3,62,1
363,2,2,2,3,63,1
364,6,6,6,3,64,2
365,8,8,8,3,65,2
366,7,7,7,3,66,2
367,6,6,6,3,67,2
368,9,9,9,3,68,2
369,10,10,10,3,69,2
370,8,8,8,3,70,2
371,8,8,8,3,71,2
372,8,8,8,3,72,2
373,9,9,9,3,73,2
374,9,9,9,3,74,2
375,9,9,9,3,75,2
376,9,9,9,3,76,2
377,9,9,9,3,77,2
378,9,9,9,3,78,2
379,9,9,9,3,79,2
380,8,8,8,3,80,2
381,8,8,8,3,81,2
382,8,8,8,3,82,2
383,9,9,9,3,83,2
384,9,9,9,3,84,2
385,9,9,9,3,85,2
386,9,9,9,3,86,2
387,8,8,8,3,87,2
388,8,8,8,3,88,2
389,8,8,8,3,89,2
390,8,8,8,3,90,2
391,8,8,8,3,91,2
392,8,8,8,3,92,2
393,8,8,8,3,93,2
394,8,8,8,3,94,2
395,9,9,9,3,95,2
396,9,9,9,3,96,2
397,9,9,9,3,97,2
398,9,9,9,3,98,2
399,9,9,9,3,99,2
400,9,9,9,4,0,2
401,9,9,9,4,1,2
402,9,9,9,4,2,2
403,9,9,9,4,3,2
404,9,9,9,4,4,2
405,9,9,9,4,5,2
406,9,9,9,4,6,2
407,9,9,9,4,7,2
408,9,9,9,4,8,2
409,9,9,9,4,9,2
410,9,9,9,4,10,2
411,9,9,9,4,11,2
412,9,9,9,4,12,2
413,9,9,9,4,13,2
414,9,9,9,4,14,2
415,8,8,8,4,15,2
416,8,8,8,4,16,2
417,8,8,8,4,17,2
418,8,8,8,4,18,2
419,8,8,8,4,19,2
420,8,8,8,4,20,2
421,8,8,8,4,21,2
422,8,8,8,4,22,2
423,9,9,9,4,23,2
424,9,9,9,4,24,2
425,9,9,9,4,25,2
426,9,9,9,4,26,2
427,9,9,9,4,27,2
428,9,9,9,4,28,2
429,9,9,9,4,29,2
430,8,8,8,4,30,2
431,9,9,9,4,31,2
432,9,9,9,4,32,2
433,11,11,11,4,33,2
434,11,11,11,4,34,2
435,11,11,11,4,35,2
436,8,8,8,4,36,2
437,4,4,4,4,37,1
438,4,4,4,4,38,1
439,32,32,32,4,39,5
440,86,86,86,4,40,4
441,145,145,145,4,41,1
442,191,191,191,4,42,1
443,236,236,236,4,43,1
444,254,254,254,4,44,1
445,255,255,255,4,45,1
446,255,255,255,4,46,1
447,255,255,255,4,47,1
448,255,255,255,4,48,1
449,255,255,255,4,49,1
450,248,248,248,4,50,1
451,246,246,246,4,51,1
452,255,255,255,4,52,1
453,255,255,255,4,53,1
454,255,255,255,4,54,1
455,255,255,255,4,55,1
456,255,255,255,4,56,1
457,255,255,255,4,57,1
458,251,251,251,4,58,1
459,241,241,241,4,59,1
460,233,233,233,4,60,1
461,193,193,193,4,61,1
462,146,146,146,4,62,1
463,90,90,90,4,63,4
464,42,42,42,4,64,6
465,11,11,11,4,65,2
466,0,0,0,4,66,1
467,4,4,4,4,67,1
468,6,6,6,4,68,2
469,11,11,11,4,69,2
470,10,10,10,4,70,2
471,6,6,6,4,71,2
472,9,9,9,4,72,2
473,9,9,9,4,73,2
474,9,9,9,4,74,2
475,9,9,9,4,75,2
476,9,9,9,4,76,2
477,9,9,9,4,77,2
478,9,9,9,4,78,2
479,9,9,9,4,79,2
480,8,8,8,4,80,2
481,8,8,8,4,81,2
482,8,8,8,4,82,2
483,9,9,9,4,83,2
484,9,9,9,4,84,2
485,9,9,9,4,85,2
486,9,9,9,4,86,2
487,8,8,8,4,87,2
488,8,8,8,4,88,2
489,8,8,8,4,89,2
490,8,8,8,4,90,2
491,8,8,8,4,91,2
492,8,8,8,4,92,2
493,8,8,8,4,93,2
494,8,8,8,4,94,2
495,9,9,9,4,95,2
496,9,9,9,4,96,2
497,9,9,9,4,97,2
498,9,9,9,4,98,2
499,9,9,9,4,99,2
500,9,9,9,5,0,2
501,9,9,9,5,1,2
502,9,9,9,5,2,2
503,9,9,9,5,3,2
504,9,9,9,5,4,2
505,9,9,9,5,5,2
506,9,9,9,5,6,2
507,9,9,9,5,7,2
508,9,9,9,5,8,2
509,9,9,9,5,9,2
510,9,9,9,5,10,2
511,9,9,9,5,11,2
512,9,9,9,5,12,2
513,9,9,9,5,13,2
514,9,9,9,5,14,2
515,8,8,8,5,15,2
516,8,8,8,5,16,2
517,8,8,8,5,17,2
518,8,8,8,5,18,2
519,8,8,8,5,19,2
520,8,8,8,5,20,2
521,8,8,8,5,21,2
522,8,8,8,5,22,2
523,9,9,9,5,23,2
524,9,9,9,5,24,2
525,9,9,9,5,25,2
526,9,9,9,5,26,2
527,9,9,9,5,27,2
528,9,9,9,5,28,2
529,9,9,9,5,29,2
530,9,9,9,5,30,2
531,10,10,10,5,31,2
532,11,11,11,5,32,2
533,11,11,11,5,33,2
534,8,8,8,5,34,2
535,6,6,6,5,35,2
536,26,26,26,5,36,1
537,83,83,83,5,37,4
538,153,153,153,5,38,1
539,220,220,220,5,39,1
540,250,250,250,5,40,1
541,255,255,255,5,41,1
542,247,247,247,5,42,1
543,244,244,244,5,43,1
544,255,255,255,5,44,1
545,253,253,253,5,45,1
546,252,252,252,5,46,1
547,247,247,247,5,47,1
548,240,240,240,5,48,1
549,227,227,227,5,49,1
550,215,215,215,5,50,1
551,204,204,204,5,51,1
552,230,230,230,5,52,1
553,220,220,220,5,53,1
554,207,207,207,5,54,1
555,212,212,212,5,55,1
556,202,202,202,5,56,1
557,220,220,220,5,57,1
558,246,246,246,5,58,1
559,255,255,255,5,59,1
560,255,255,255,5,60,1
561,255,255,255,5,61,1
562,255,255,255,5,62,1
563,251,251,251,5,63,1
564,228,228,228,5,64,1
565,177,177,177,5,65,1
566,123,123,123,5,66,4
567,57,57,57,5,67,7
568,17,17,17,5,68,1
569,0,0,0,5,69,1
570,8,8,8,5,70,2
571,9,9,9,5,71,2
572,9,9,9,5,72,2
573,9,9,9,5,73,2
574,9,9,9,5,74,2
575,9,9,9,5,75,2
576,9,9,9,5,76,2
577,9,9,9,5,77,2
578,9,9,9,5,78,2
579,9,9,9,5,79,2
580,8,8,8,5,80,2
581,8,8,8,5,81,2
582,8,8,8,5,82,2
583,9,9,9,5,83,2
584,9,9,9,5,84,2
585,9,9,9,5,85,2
586,9,9,9,5,86,2
587,8,8,8,5,87,2
588,8,8,8,5,88,2
589,8,8,8,5,89,2
590,8,8,8,5,90,2
591,8,8,8,5,91,2
592,8,8,8,5,92,2
593,8,8,8,5,93,2
594,8,8,8,5,94,2
595,9,9,9,5,95,2
596,9,9,9,5,96,2
597,9,9,9,5,97,2
598,9,9,9,5,98,2
599,9,9,9,5,99,2
600,9,9,9,6,0,2
601,9,9,9,6,1,2
602,9,9,9,6,2,2
603,9,9,9,6,3,2
604,9,9,9,6,4,2
605,9,9,9,6,5,2
606,9,9,9,6,6,2
607,9,9,9,6,7,2
608,9,9,9,6,8,2
609,9,9,9,6,9,2
610,9,9,9,6,10,2
611,9,9,9,6,11,2
612,9,9,9,6,12,2
613,9,9,9,6,13,2
614,9,9,9,6,14,2
615,8,8,8,6,15,2
616,8,8,8,6,16,2
617,8,8,8,6,17,2
618,8,8,8,6,18,2
619,8,8,8,6,19,2
620,8,8,8,6,20,2
621,8,8,8,6,21,2
622,8,8,8,6,22,2
623,9,9,9,6,23,2
624,9,9,9,6,24,2
625,9,9,9,6,25,2
626,9,9,9,6,26,2
627,11,11,11,6,27,2
628,8,8,8,6,28,2
629,9,9,9,6,29,2
