,R,G,B,i,j,cluster
3206,0,0,0,32,6,2
3207,0,0,0,32,7,2
3208,0,0,0,32,8,2
3209,0,0,0,32,9,2
3210,0,0,0,32,10,2
3211,1,1,1,32,11,2
3212,4,4,4,32,12,2
3213,4,4,4,32,13,2
3214,5,5,5,32,14,2
3215,6,6,6,32,15,2
3216,6,6,6,32,16,2
3217,4,4,4,32,17,2
3218,4,4,4,32,18,2
3219,5,5,5,32,19,2
3220,6,6,6,32,20,2
3221,7,7,7,32,21,2
3222,6,6,6,32,22,2
3223,5,5,5,32,23,2
3224,6,6,6,32,24,2
3225,8,8,8,32,25,2
3226,41,41,41,32,26,1
3227,109,109,109,32,27,1
3228,158,158,158,32,28,1
3229,135,135,135,32,29,1
3230,74,74,74,32,30,3
3231,62,62,62,32,31,1
3232,86,86,86,32,32,3
3233,90,90,90,32,33,3
3234,64,64,64,32,34,4
3235,62,62,62,32,35,1
3236,75,75,75,32,36,3
3237,75,75,75,32,37,3
3238,88,88,88,32,38,3
3239,93,93,93,32,39,3
3240,76,76,76,32,40,3
3241,73,73,73,32,41,3
3242,84,84,84,32,42,3
3243,96,96,96,32,43,3
3244,91,91,91,32,44,3
3245,79,79,79,32,45,3
3246,80,80,80,32,46,3
3247,68,68,68,32,47,5
3248,81,81,81,32,48,3
3249,88,88,88,32,49,3
3250,86,86,86,32,50,3
3251,80,80,80,32,51,3
3252,90,90,90,32,52,3
3253,96,96,96,32,53,3
3254,79,79,79,32,54,3
3255,54,54,54,32,55,1
3256,72,72,72,32,56,3
3257,81,81,81,32,57,3
3258,87,87,87,32,58,3
3259,89,89,89,32,59,3
3260,82,82,82,32,60,3
3261,79,79,79,32,61,3
3262,61,61,61,32,62,1
3263,58,58,58,32,63,1
3264,70,70,70,32,64,3
3265,68,68,68,32,65,5
3266,71,71,71,32,66,3
3267,96,96,96,32,67,3
3268,139,139,139,32,68,1
3269,141,141,141,32,69,1
3270,67,67,67,32,70,5
3271,14,14,14,32,71,1
3272,5,5,5,32,72,2
3273,8,8,8,32,73,2
3274,7,7,7,32,74,2
3275,5,5,5,32,75,2
3276,5,5,5,32,76,2
3277,5,5,5,32,77,2
3278,5,5,5,32,78,2
3279,5,5,5,32,79,2
3280,5,5,5,32,80,2
